"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.01.2024","131.521","130.265","131.553","130.253","5,75M","0,96%"
"12.01.2024","130.265","130.652","131.927","130.265","390,93K","-0,29%"
"11.01.2024","130.649","130.841","131.308","129.898","9,76M","-0,15%"
"10.01.2024","130.841","131.447","131.628","130.438","8,96M","-0,46%"
"09.01.2024","131.447","132.424","132.426","131.203","9,29M","-0,74%"
"08.01.2024","132.427","132.023","132.498","131.015","8,50M","0,31%"
"05.01.2024","132.023","131.218","132.635","130.579","9,20M","0,61%"
"04.01.2024","131.226","132.831","132.885","131.024","8,97M","-1,21%"
"03.01.2024","132.834","132.697","133.576","132.250","8,70M","0,10%"
"02.01.2024","132.697","134.186","134.195","132.095","8,44M","-1,11%"
"28.12.2023","134.185","134.194","134.389","133.832","7,81M","-0,01%"
"27.12.2023","134.194","133.523","134.195","133.328","6,17M","0,49%"
"26.12.2023","133.533","132.753","133.645","132.753","5,15M","0,59%"
"22.12.2023","132.753","132.182","133.035","132.094","8,23M","0,43%"
"21.12.2023","132.182","130.826","132.277","130.822","8,68M","1,05%"
"20.12.2023","130.804","131.851","132.341","130.710","10,34M","-0,79%"
"19.12.2023","131.851","131.088","132.047","131.086","9,43M","0,59%"
"18.12.2023","131.084","130.202","131.447","130.198","9,60M","0,68%"
"15.12.2023","130.197","130.842","131.661","129.884","15,14M","-0,49%"
"14.12.2023","130.842","129.469","131.260","129.469","15,82M","1,06%"
"13.12.2023","129.465","126.406","129.793","126.299","15,07M","2,42%"
"12.12.2023","126.403","126.923","127.359","126.013","10,27M","-0,40%"
"11.12.2023","126.916","127.093","127.154","126.526","7,09M","-0,14%"
"08.12.2023","127.094","126.010","127.289","125.562","10,75M","0,86%"
"07.12.2023","126.010","125.623","126.581","125.566","10,51M","0,31%"
"06.12.2023","125.623","126.907","127.538","125.614","10,84M","-1,01%"
"05.12.2023","126.903","126.802","127.489","126.491","11,96M","0,08%"
"04.12.2023","126.803","128.183","128.183","126.643","10,27M","-1,08%"
"01.12.2023","128.185","127.331","128.185","126.656","13,70M","0,67%"
"30.11.2023","127.331","126.168","127.399","126.168","19,24M","0,92%"
"29.11.2023","126.166","126.541","127.388","126.018","12,42M","-0,29%"
"28.11.2023","126.538","125.726","126.916","125.388","12,39M","0,64%"
"27.11.2023","125.731","125.517","125.826","124.840","11,01M","0,17%"
"24.11.2023","125.517","126.553","126.553","125.341","9,61M","-0,84%"
"23.11.2023","126.576","126.035","126.760","125.764","7,82M","0,43%"
"22.11.2023","126.035","125.626","126.875","125.439","14,06M","0,33%"
"21.11.2023","125.626","125.957","125.957","125.060","10,79M","-0,26%"
"20.11.2023","125.957","124.773","126.162","124.773","11,11M","0,95%"
"17.11.2023","124.773","124.639","125.431","124.547","15,72M","0,11%"
"16.11.2023","124.639","123.165","124.737","123.165","18,36M","1,20%"
"14.11.2023","123.166","120.411","123.370","120.411","19,43M","2,29%"
"13.11.2023","120.410","120.561","120.606","119.878","11,20M","-0,13%"
"10.11.2023","120.568","119.036","120.823","119.036","11,75M","1,29%"
"09.11.2023","119.034","119.180","120.257","118.446","15,57M","-0,12%"
"08.11.2023","119.177","119.268","119.976","118.464","15,19M","-0,08%"
"07.11.2023","119.268","118.422","119.577","118.026","16,39M","0,71%"
"06.11.2023","118.431","118.160","118.758","118.045","10,17M","0,23%"
"03.11.2023","118.160","115.062","118.502","115.062","15,71M","2,70%"
"01.11.2023","115.053","113.157","115.433","113.157","13,90M","1,69%"
"31.10.2023","113.144","112.534","113.597","112.098","10,56M","0,54%"
"30.10.2023","112.532","113.303","114.204","112.309","9,74M","-0,68%"
"27.10.2023","113.301","114.777","115.342","112.953","12,29M","-1,29%"
"26.10.2023","114.777","112.840","114.886","112.840","12,77M","1,73%"
"25.10.2023","112.830","113.762","114.319","112.680","12,31M","-0,82%"
"24.10.2023","113.762","112.814","114.249","112.814","10,71M","0,87%"
"23.10.2023","112.785","113.145","113.680","112.164","10,70M","-0,33%"
"20.10.2023","113.155","113.996","114.090","112.533","11,74M","-0,74%"
"19.10.2023","114.004","114.059","115.063","113.768","11,50M","-0,05%"
"18.10.2023","114.060","115.907","115.907","113.952","15,49M","-1,60%"
"17.10.2023","115.908","116.526","116.917","115.564","10,37M","-0,54%"
"16.10.2023","116.534","115.760","116.905","115.760","8,99M","0,67%"
"13.10.2023","115.754","117.050","117.070","115.658","10,61M","-1,11%"
"11.10.2023","117.051","116.737","117.099","116.231","9,95M","0,27%"
"10.10.2023","116.737","115.158","116.900","115.158","11,62M","1,37%"
"09.10.2023","115.156","114.169","115.219","113.448","9,47M","0,86%"
"06.10.2023","114.170","113.283","114.491","111.599","13,14M","0,78%"
"05.10.2023","113.284","113.609","114.359","112.705","9,51M","-0,28%"
"04.10.2023","113.607","113.430","114.075","113.036","10,81M","0,17%"
"03.10.2023","113.419","115.055","115.056","113.151","11,10M","-1,42%"
"02.10.2023","115.057","116.565","116.672","114.761","8,52M","-1,29%"
"29.09.2023","116.565","115.742","116.899","115.742","11,14M","0,72%"
"28.09.2023","115.731","114.327","115.954","114.180","10,39M","1,23%"
"27.09.2023","114.327","114.193","115.340","113.366","13,36M","0,12%"
"26.09.2023","114.193","115.922","115.922","114.162","11,24M","-1,49%"
"25.09.2023","115.925","116.009","116.031","115.573","9,58M","-0,07%"
"22.09.2023","116.009","116.147","116.968","115.855","9,44M","-0,12%"
"21.09.2023","116.145","118.695","118.695","116.013","12,69M","-2,15%"
"20.09.2023","118.695","117.864","119.616","117.847","9,24M","0,72%"
"19.09.2023","117.846","118.288","118.458","117.628","11,45M","-0,37%"
"18.09.2023","118.288","118.759","119.486","118.123","11,27M","-0,40%"
"15.09.2023","118.758","119.393","119.780","118.666","16,11M","-0,53%"
"14.09.2023","119.392","118.181","119.748","118.181","13,28M","1,03%"
"13.09.2023","118.176","117.968","119.318","117.722","12,08M","0,18%"
"12.09.2023","117.968","116.885","118.154","116.885","9,19M","0,93%"
"11.09.2023","116.883","115.316","117.131","115.316","8,79M","1,36%"
"08.09.2023","115.313","115.979","115.979","114.839","8,36M","-0,58%"
"06.09.2023","115.985","117.331","117.971","115.984","9,92M","-1,15%"
"05.09.2023","117.331","117.776","117.957","116.637","10,87M","-0,38%"
"04.09.2023","117.777","117.893","118.576","117.590","5,53M","-0,10%"
"01.09.2023","117.893","115.744","117.991","115.744","11,89M","1,86%"
"31.08.2023","115.742","117.537","117.637","115.742","12,95M","-1,53%"
"30.08.2023","117.535","118.404","118.841","117.471","8,92M","-0,73%"
"29.08.2023","118.404","118.051","118.493","117.400","9,63M","1,10%"
"28.08.2023","117.121","115.838","117.253","115.836","9,60M","1,11%"
"25.08.2023","115.837","117.025","117.252","115.397","9,21M","-1,02%"
"24.08.2023","117.026","118.135","118.136","116.848","9,20M","-0,94%"
"23.08.2023","118.135","116.160","118.135","116.159","11,54M","1,70%"
"22.08.2023","116.156","114.433","116.286","114.433","9,83M","1,51%"
"21.08.2023","114.429","115.404","115.425","114.067","9,79M","-0,85%"
"18.08.2023","115.409","114.973","115.729","114.423","10,60M","0,37%"
"17.08.2023","114.982","115.592","116.610","114.859","12,75M","-0,53%"
"16.08.2023","115.592","116.171","117.338","115.534","18,86M","-0,50%"
"15.08.2023","116.171","116.809","117.697","116.033","14,64M","-0,55%"
"14.08.2023","116.810","118.067","118.082","116.530","11,20M","-1,06%"
"11.08.2023","118.065","118.350","119.054","117.415","11,87M","-0,24%"
"10.08.2023","118.350","118.412","119.438","118.113","12,69M","-0,05%"
