"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2013","51.507","51.274","51.996","51.274","2,05M","0,47%"
"27.12.2013","51.267","51.239","51.395","51.207","2,00M","0,09%"
"26.12.2013","51.221","51.358","51.610","51.185","1,81M","-0,26%"
"23.12.2013","51.356","51.188","51.605","51.188","2,31M","0,33%"
"20.12.2013","51.186","51.620","51.641","51.025","3,72M","-0,87%"
"19.12.2013","51.633","50.578","51.633","50.578","2,96M","2,12%"
"18.12.2013","50.563","50.110","50.869","50.110","4,53M","0,94%"
"17.12.2013","50.090","50.279","50.563","50.049","2,68M","-0,38%"
"16.12.2013","50.280","50.049","50.611","50.049","2,80M","0,46%"
"13.12.2013","50.051","50.133","50.519","50.006","2,88M","-0,14%"
"12.12.2013","50.122","50.077","50.331","49.842","3,05M","0,11%"
"11.12.2013","50.068","50.991","51.039","50.068","3,08M","-1,81%"
"10.12.2013","50.993","51.167","51.334","50.956","2,13M","-0,34%"
"09.12.2013","51.165","50.942","51.298","50.832","2,28M","0,43%"
"06.12.2013","50.944","50.788","51.365","50.610","3,35M","0,31%"
"05.12.2013","50.788","50.220","51.124","50.220","3,67M","1,14%"
"04.12.2013","50.216","50.359","50.744","50.114","3,64M","-0,26%"
"03.12.2013","50.349","51.240","51.257","50.224","3,68M","-1,75%"
"02.12.2013","51.245","52.479","52.479","51.245","3,79M","-2,36%"
"29.11.2013","52.482","51.847","52.482","51.847","2,63M","1,23%"
"28.11.2013","51.847","51.862","52.458","51.697","2,42M","-0,03%"
"27.11.2013","51.861","51.448","52.113","51.448","3,11M","0,81%"
"26.11.2013","51.447","52.259","52.410","51.433","3,73M","-1,56%"
"25.11.2013","52.264","52.807","52.995","52.116","3,08M","-1,02%"
"22.11.2013","52.801","52.686","53.221","52.096","3,47M","0,21%"
"21.11.2013","52.688","53.027","53.027","52.190","3,62M","-0,65%"
"19.11.2013","53.033","54.304","54.304","52.831","3,65M","-2,35%"
"18.11.2013","54.307","53.452","54.317","53.452","3,32M","1,60%"
"14.11.2013","53.452","52.233","53.566","52.233","3,61M","2,34%"
"13.11.2013","52.230","51.804","52.271","51.290","3,42M","0,82%"
"12.11.2013","51.804","52.624","52.811","51.636","3,85M","-1,56%"
"11.11.2013","52.624","52.247","52.646","52.072","2,32M","0,72%"
"08.11.2013","52.249","52.739","52.868","51.735","4,11M","-0,93%"
"07.11.2013","52.741","53.390","53.891","52.558","4,87M","-1,21%"
"06.11.2013","53.385","53.840","53.857","53.073","4,26M","-0,83%"
"05.11.2013","53.832","54.436","54.539","53.731","3,33M","-1,11%"
"04.11.2013","54.437","54.014","54.531","54.008","2,73M","0,78%"
"01.11.2013","54.013","54.255","54.387","53.753","4,09M","-0,45%"
"31.10.2013","54.256","54.174","54.466","53.602","12,95M","0,15%"
"30.10.2013","54.173","54.541","54.764","53.917","6,04M","-0,67%"
"29.10.2013","54.539","55.076","55.267","54.224","6,14M","-0,97%"
"28.10.2013","55.073","54.156","55.076","54.070","5,80M","1,70%"
"25.10.2013","54.154","54.863","54.911","54.141","4,94M","-1,32%"
"24.10.2013","54.877","55.440","55.864","54.443","5,65M","-1,02%"
"23.10.2013","55.440","56.459","56.459","55.380","4,02M","-1,81%"
"22.10.2013","56.460","56.074","56.720","55.898","4,61M","0,68%"
"21.10.2013","56.077","55.380","56.109","55.257","4,66M","1,26%"
"18.10.2013","55.378","55.360","56.052","55.004","5,98M","0,04%"
"17.10.2013","55.358","55.966","56.168","55.146","7,21M","-1,10%"
"16.10.2013","55.973","54.983","56.747","54.902","12,96M","1,80%"
"15.10.2013","54.981","54.176","55.190","54.053","8,58M","1,50%"
"14.10.2013","54.171","53.150","54.197","52.833","4,09M","1,92%"
"11.10.2013","53.150","53.000","53.301","52.739","3,05M","0,29%"
"10.10.2013","52.997","52.550","53.133","52.512","4,14M","0,85%"
"09.10.2013","52.548","52.313","52.836","51.955","4,21M","0,45%"
"08.10.2013","52.312","52.413","52.556","51.870","4,00M","-0,20%"
"07.10.2013","52.417","52.841","52.912","52.274","3,47M","-0,82%"
"04.10.2013","52.849","52.489","52.872","52.113","4,30M","0,68%"
"03.10.2013","52.490","53.101","53.429","52.296","3,99M","-1,15%"
"02.10.2013","53.100","53.176","53.474","52.871","4,14M","-0,15%"
"01.10.2013","53.179","52.337","53.179","52.093","5,04M","1,61%"
"30.09.2013","52.338","53.737","53.737","52.291","6,50M","-2,61%"
"27.09.2013","53.739","53.781","54.131","53.611","4,22M","-0,08%"
"26.09.2013","53.783","54.263","54.344","53.429","6,27M","-0,88%"
"25.09.2013","54.261","54.425","54.612","53.968","3,90M","-0,31%"
